restaurant_name,rating,num_ratings,avg_cost,online_order,table_booking,cuisines,area
All Aromas,2.8,40,400.0,1,0,"['North Indian', 'Biryani']",Basavanagudi
All Saints Bakery,3.6,23,200.0,0,0,['Bakery'],Brigade Road
All Shook Up,3.6,34,300.0,1,0,"['Desserts', 'Beverages']",Brookefield
All Shook Up!,3.6,19,300.0,1,0,"['Desserts', 'Beverages']",Malleshwaram
Allahabadi Tadaka,2.9,46,250.0,0,0,['North Indian'],Indiranagar
Allana Kabab,3.3,4,200.0,0,0,['North Indian'],Church Street
Alloro - The Oterra,4.0,63,2500.0,0,1,['Italian'],Electronic City
Al-Madina,3.3,8,500.0,0,0,"['North Indian', 'Chinese']","Byresandra,Tavarekere,Madiwala"
Al-Madina Restaurant,3.4,22,400.0,0,0,"['Arabian', 'North Indian', 'Chinese', 'Kerala']",Basavanagudi
Al-Marhaba Restaurant,2.8,40,400.0,1,0,"['Arabian', 'Chinese', 'North Indian', 'Rolls', 'Momos']",Bannerghatta Road
Al-Noor Restaurant,2.8,40,400.0,1,0,"['Chinese', 'North Indian', 'Mughlai']",Kalyan Nagar
Alpha - House of Biryani & Tandoor,3.3,387,800.0,1,0,"['Biryani', 'North Indian', 'Chinese']",Brookefield
Al-Sidique,4.0,314,400.0,1,0,"['North Indian', 'Chinese']",Rajajinagar
alt,4.1,821,1900.0,0,1,['Finger Food'],Whitefield
Altaf's Chillies Restaurant,3.8,229,500.0,1,0,"['North Indian', 'Chinese']",Frazer Town
Altaj Restaurant,3.3,6,700.0,0,0,"['North Indian', 'Chinese']",Malleshwaram
Al-Taj Restaurant,3.3,10,600.0,1,0,"['South Indian', 'North Indian', 'Chinese']",Rajajinagar
Alter Ego D'Deli,3.8,140,650.0,1,0,"['Cafe', 'Continental', 'Italian', 'Burger', 'Pizza', 'Salad', 'Steak']",Kalyan Nagar
Alto Vino - Bengaluru Marriott Hotel Whitefield,4.3,263,3000.0,0,1,"['Italian', 'Salad']",Brookefield
AM WOW,3.4,6,100.0,1,0,['Beverages'],Banashankari
Amadora Gourmet Ice Cream & Sorbet,2.8,40,500.0,0,0,['Desserts'],Brookefield
Amande Patisserie,4.0,73,300.0,1,0,"['Bakery', 'French', 'Desserts']",Banashankari
Amanthrana Gardenia,3.8,107,800.0,1,0,"['North Indian', 'Andhra', 'BBQ', 'Seafood', 'Chinese']",Brookefield
Amantrana,3.2,15,800.0,0,0,"['North Indian', 'South Indian']",Rajajinagar
Amar Kolkata,3.2,4,300.0,0,0,"['Bengali', 'North Indian', 'Chinese']",Indiranagar
Amara Food Point,3.3,4,250.0,0,0,['South Indian'],"Byresandra,Tavarekere,Madiwala"
Amaravathi Bar & Restaurant,3.7,43,400.0,0,0,"['North Indian', 'Chinese', 'Seafood']","Byresandra,Tavarekere,Madiwala"
Amaravathi Mess,3.6,108,400.0,1,0,"['Andhra', 'Biryani']",Electronic City
Amaravati,3.6,39,400.0,0,0,"['North Indian', 'Chinese']","Byresandra,Tavarekere,Madiwala"
Amaravati - Pure Veg Restaurant,3.5,93,350.0,1,0,"['South Indian', 'North Indian', 'Chinese']",Marathahalli
Amaravati Authentic Andhra Restaurant,3.0,148,600.0,1,0,"['Andhra', 'Chinese', 'North Indian', 'Biryani']",Brookefield
Amaravati Food Court,3.3,7,300.0,1,0,['Kerala'],Whitefield
